,query-docid,q_id,label,bm25,laplace,jm,tfidf,okapi
0,54-AP890306-0169,54,1,27.93181923959083,-92.00940045264447,-40.25917339337422,11.417692169513714,2.1784487857561174
1,54-AP890328-0062,54,1,15.629973021595433,-93.46886897075815,-44.081303502671894,6.20699874050587,1.3565806572635963
2,54-AP890622-0082,54,1,25.71216470891023,-93.21181583683193,-40.934508048381446,10.204884857531143,1.9216976291600214
3,54-AP890118-0061,54,1,26.097545389194458,-91.50404564446,-41.498398578603016,10.33264168893027,2.038043524462453
4,54-AP891220-0132,54,1,23.732573610570086,-94.02145538949421,-41.175104323512535,9.069492504901008,1.7875537855093042
5,54-AP890212-0042,54,1,20.27816705990321,-92.79160544423829,-42.241819510782506,8.388705071339315,1.5646112643675436
6,54-AP890117-0119,54,1,26.28013351557514,-91.1686404479711,-41.367064547261144,10.466206914532943,2.047364595705983
7,54-AP890330-0029,54,1,28.62323346852707,-91.1417142713064,-41.01014870394612,10.6959608707333,2.0925778244822917
8,54-AP891220-0017,54,1,24.164305975384817,-94.02105479639377,-40.802164183399384,9.294023658895169,1.8306384145287415
9,54-AP891228-0129,54,1,23.597363133044755,-93.79880142472987,-41.297983831185014,9.041951480398918,1.7883146308099014
10,54-AP891229-0163,54,1,26.214805454448026,-93.32870878197633,-40.47000305463435,10.435326487425105,1.9969464975699727
11,54-AP890605-0089,54,1,27.317738810869194,-89.81715758326092,-39.727198926111356,11.263655468967906,2.2766685502822597
12,54-AP890828-0029,54,1,32.657694536903385,-88.62315097552633,-39.808383188151424,13.298503340523961,2.6217822680855454
13,54-AP890123-0052,54,1,25.95773617014281,-90.77123310868352,-40.88959719013415,10.772795597248138,2.0524883639189175
14,54-AP891219-0144,54,1,23.546147417637314,-94.02163342443356,-41.3238282981063,8.97345993904736,1.7691132424095595
15,54-AP890715-0145,54,1,26.802291591800078,-91.54873498250736,-42.92676121273975,9.561345327274186,1.9785018091884146
16,54-AP890215-0048,54,1,20.347757600140135,-92.65869471117492,-42.6241251534348,8.408938407520889,1.5363254085019404
17,54-AP891230-0111,54,1,24.812470773088343,-93.61696942452573,-41.263258012941826,9.63185592530342,1.859805821293088
18,54-AP891226-0124,54,1,27.77951244461908,-92.29628160403637,-40.20359572916622,11.295374128358484,2.1798849100061135
19,54-AP890222-0165,54,1,20.202706405129092,-93.39565032025345,-42.313581276529064,8.317291223473266,1.5338960399129775
20,54-AP890810-0146,54,1,28.971262459819634,-90.76241953447115,-41.117554271718795,11.260745332044102,2.2882245158817547
